Date,Year,Month,FY_Quarter,CPI_Combined_Index_2012base,CPI_Combined_Inflation_YoY_pct,Status
2011-01,2011,1,2010-11 Q4,89.5,,Final
2011-02,2011,2,2010-11 Q4,88.4,,Final
2011-03,2011,3,2010-11 Q4,88.4,,Final
2011-04,2011,4,2011-12 Q1,89.1,,Final
2011-05,2011,5,2011-12 Q1,89.8,,Final
2011-06,2011,6,2011-12 Q1,90.6,,Final
2011-07,2011,7,2011-12 Q2,91.8,,Final
2011-08,2011,8,2011-12 Q2,92.7,,Final
2011-09,2011,9,2011-12 Q2,93.8,,Final
2011-10,2011,10,2011-12 Q3,94.8,,Final
2011-11,2011,11,2011-12 Q3,95.2,,Final
2011-12,2011,12,2011-12 Q3,94.7,,Final
2012-01,2012,1,2011-12 Q4,95.1,6.26,Final
2012-02,2012,2,2011-12 Q4,95.5,8.03,Final
2012-03,2012,3,2011-12 Q4,96.4,9.05,Final
2012-04,2012,4,2012-13 Q1,97.8,9.76,Final
2012-05,2012,5,2012-13 Q1,98.6,9.8,Final
2012-06,2012,6,2012-13 Q1,99.8,10.15,Final
2012-07,2012,7,2012-13 Q2,101.1,10.13,Final
2012-08,2012,8,2012-13 Q2,102.2,10.25,Final
2012-09,2012,9,2012-13 Q2,102.9,9.7,Final
2012-10,2012,10,2012-13 Q3,103.6,9.28,Final
2012-11,2012,11,2012-13 Q3,104.3,9.56,Final
2012-12,2012,12,2012-13 Q3,104.6,10.45,Final
2013-01,2013,1,2012-13 Q4,104.6,9.99,Final
2013-02,2013,2,2012-13 Q4,105.3,10.26,Final
2013-03,2013,3,2012-13 Q4,105.5,9.44,Final
2013-04,2013,4,2013-14 Q1,106.1,8.49,Final
2013-05,2013,5,2013-14 Q1,106.9,8.42,Final
2013-06,2013,6,2013-14 Q1,109.3,9.52,Final
2013-07,2013,7,2013-14 Q2,111,9.79,Final
2013-08,2013,8,2013-14 Q2,112.4,9.98,Final
2013-09,2013,9,2013-14 Q2,113.7,10.5,Final
