FY_Quarter,GDP_prod,GFCE,PFCE,GFCF,CIS,Valuables,Exports,Imports,Discrepancies,GDP_exp,NetExports
2011-12 Q1,2102862.8,204165.1,1236604.4,696954.8,52515.9,59926.7,506866.9,643806.3,-10364.7,2102862.8,-136939.4
2011-12 Q2,2042870.2,257146.7,1127292.9,727748.9,49135.3,65430.2,507189.2,640633.6,-50439.6,2042870.2,-133444.4
2011-12 Q3,2225135.2,220375.1,1264939.5,752161.7,49219.4,60517.1,553499.2,713920.6,38343.7,2225135.2,-160421.4
2011-12 Q4,2365461.4,286688.1,1281610.5,820867.2,57112.5,67159.3,576375.7,717193.6,-7158.2,2365461.4,-140817.9
2012-13 Q1,2205223.4,228822.6,1225156.8,763691.8,48568.7,69769.1,532776.1,677719.6,14157.9,2205223.4,-144943.5
2012-13 Q2,2195945.9,286153.2,1224958.8,767235.0,50684.9,64580.5,652251.2,745413.7,-104504.0,2195945.9,-93162.6
2012-13 Q3,2344767.2,189644.9,1377374.4,769338.9,48221.5,60196.0,528616.5,736031.6,107406.6,2344767.2,-207415.1
2012-13 Q4,2467081.9,269642.2,1351601.7,845527.5,54053.0,65403.8,576192.1,719914.2,24575.8,2467081.9,-143722.1
2013-14 Q1,2347396.4,272180.6,1321378.6,785524.9,31849.1,37116.6,550329.8,657363.4,6380.1,2347396.4,-107033.5
2013-14 Q2,2357078.9,279484.7,1299202.9,779670.1,32224.2,37741.7,645078.1,684552.5,-31770.3,2357078.9,-39474.4
2013-14 Q3,2497997.3,195395.2,1473208.3,787578.6,31359.4,32398.9,613839.6,632540.7,-3242.0,2497997.3,-18701.1
2013-14 Q4,2598897.6,232764.6,1463539.4,842150.7,34325.4,41622.0,659021.4,670098.6,-4429.4,2598897.6,-11077.1
2014-15 Q1,2535750.6,278563.6,1417165.1,808569.3,68881.0,49133.3,622484.6,663204.9,-45841.5,2535750.6,-40720.3
2014-15 Q2,2562241.6,307608.7,1412804.0,815553.2,69140.2,45222.8,626568.1,681671.4,-32984.0,2562241.6,-55103.3
2014-15 Q3,2645947.1,251973.2,1504575.6,793636.7,63605.1,40231.0,635338.0,680646.2,37233.7,2645947.1,-45308.2
2014-15 Q4,2783733.2,216005.3,1578112.0,860336.9,73124.8,53369.7,627754.0,642072.8,17103.3,2783733.2,-14318.8
2015-16 Q1,2728278.6,291843.2,1517932.6,838302.2,58663.8,41485.5,582461.5,624902.0,22491.8,2728278.6,-42440.6
2015-16 Q2,2768087.1,335329.0,1513130.3,844359.5,59498.2,48494.6,596858.6,656933.0,27349.9,2768087.1,-60074.4
2015-16 Q3,2836387.4,272799.2,1633448.4,874854.7,56667.7,45507.3,578983.5,614329.5,-11543.8,2836387.4,-35346.1
2015-16 Q4,3036737.9,232831.1,1716907.4,934666.7,64727.1,50499.0,611978.1,615375.2,40503.7,3036737.9,-3397.1
2016-17 Q1,2965087.8,298933.0,1623632.8,953527.4,30561.6,35095.1,603117.8,627452.9,47673.0,2965087.8,-24335.0
2016-17 Q2,3035755.8,343179.4,1658457.3,913934.8,30378.3,37226.3,611524.3,656241.4,97296.9,3035755.8,-44717.1
2016-17 Q3,3079621.6,289775.4,1816561.3,933180.0,29099.8,35698.3,618791.5,679557.0,36072.4,3079621.6,-60765.5
2016-17 Q4,3227728.3,269710.4,1801584.6,986925.1,32599.7,43459.2,654989.0,658341.5,96801.9,3227728.3,-3352.6
2017-18 Q1,3146336.3,363307.4,1763225.0,963708.7,47837.3,69319.1,626932.7,763828.4,75834.5,3146336.3,-136895.7
2017-18 Q2,3197195.5,368364.4,1738953.3,972543.4,51708.8,51039.5,639985.6,725604.2,100204.5,3197195.5,-85618.6
2017-18 Q3,3284991.7,319987.1,1892042.1,1019643.8,50223.2,43541.1,646679.4,775329.8,88204.8,3284991.7,-128650.3
2017-18 Q4,3516058.4,293183.7,1936508.1,1127183.2,56667.0,48406.8,688414.0,813511.4,179207.1,3516058.4,-125097.4
2018-19 Q1,3382300.8,387340.7,1874397.7,1102111.8,63762.3,46449.3,684204.4,804000.3,28034.9,3382300.8,-119795.9
2018-19 Q2,3403644.2,398077.8,1888258.5,1097684.6,65794.9,50462.1,717628.3,856914.7,42652.6,3403644.2,-139286.4
2018-19 Q3,3489760.9,331282.8,2033402.7,1150660.3,63606.7,44382.6,744836.6,869202.8,-9207.9,3489760.9,-124366.2
2018-19 Q4,3717210.0,318243.9,2054385.0,1190052.5,69606.9,50410.5,765811.3,819742.8,88442.8,3717210.0,-53931.5
2019-20 Q1,3554641.5,379818.9,2008912.7,1192377.5,27156.5,43887.3,703219.0,877901.4,77171.1,3554641.5,-174682.5
2019-20 Q2,3549945.5,420438.9,2004358.2,1089055.6,27009.3,44241.8,705137.9,837949.4,97653.1,3549945.5,-132811.5
2019-20 Q3,3603375.0,347494.6,2155033.0,1130774.9,26136.4,37118.5,706925.7,807596.5,7488.5,3603375.0,-100670.9
2019-20 Q4,3826678.6,343853.7,2087913.8,1180370.9,28235.0,39279.1,698611.1,798309.3,246724.3,3826678.6,-99698.2
2020-21 Q1,2732306.2,413194.6,1548748.9,687227.4,4370.3,3893.4,536467.3,524126.7,62531.0,2732306.2,12340.6
2020-21 Q2,3342656.4,310473.1,1855896.7,1064780.6,6752.9,53784.9,677013.3,698471.3,72426.1,3342656.4,-21458.0
2020-21 Q3,3667337.9,331726.5,2187534.9,1178365.8,6760.0,52306.5,661490.2,775343.9,24498.0,3667337.9,-113853.7
2020-21 Q4,3952568.4,424730.1,2227328.0,1336310.4,7733.3,103671.1,743181.7,904521.0,14134.8,3952568.4,-161339.3
2021-22 Q1,3350730.1,379484.8,1828295.8,1144394.8,37314.4,22377.6,785790.7,760671.0,-86256.9,3350730.1,25119.7
2021-22 Q2,3672438.1,325629.7,2109195.8,1227683.5,40523.9,136470.6,848921.9,885952.8,-130034.5,3672438.1,-37030.9
2021-22 Q3,3870107.8,329449.0,2429098.4,1220748.6,38512.8,74740.6,847631.5,930346.2,-139727.0,3870107.8,-82714.7
2021-22 Q4,4128570.2,445830.3,2365983.4,1421436.2,43851.9,49510.2,910763.0,966775.4,-142029.5,4128570.2,-56012.4
2022-23 Q1,3802769.1,398510.4,2182105.3,1327515.3,48476.8,36360.8,909583.8,943759.3,-156024.0,3802769.1,-34175.5
2022-23 Q2,3891250.7,322157.2,2298644.0,1306635.5,47748.8,112540.0,920147.2,1010069.7,-106552.3,3891250.7,-89922.5
2022-23 Q3,4057577.8,337544.3,2487580.8,1302885.3,46641.9,47419.9,917180.0,957144.0,-124530.5,4057577.8,-39964.0
2022-23 Q4,4413315.8,485779.5,2416612.7,1500688.7,56309.4,38825.4,996399.0,948895.7,-132403.3,4413315.8,47503.3
