FY_Quarter,FY,FiscalDeficit_pct_GDP,Status
2010-11 Q4,2010-11,4.8,Actual
2011-12 Q1,2011-12,5.7,Actual
2011-12 Q2,2011-12,5.7,Actual
2011-12 Q3,2011-12,5.7,Actual
2011-12 Q4,2011-12,5.7,Actual
2012-13 Q1,2012-13,4.9,Actual
2012-13 Q2,2012-13,4.9,Actual
2012-13 Q3,2012-13,4.9,Actual
2012-13 Q4,2012-13,4.9,Actual
2013-14 Q1,2013-14,4.5,Actual
2013-14 Q2,2013-14,4.5,Actual
2013-14 Q3,2013-14,4.5,Actual
2013-14 Q4,2013-14,4.5,Actual
2014-15 Q1,2014-15,4.1,Actual
2014-15 Q2,2014-15,4.1,Actual
2014-15 Q3,2014-15,4.1,Actual
2014-15 Q4,2014-15,4.1,Actual
2015-16 Q1,2015-16,3.9,Actual
2015-16 Q2,2015-16,3.9,Actual
2015-16 Q3,2015-16,3.9,Actual
2015-16 Q4,2015-16,3.9,Actual
2016-17 Q1,2016-17,3.5,Actual
2016-17 Q2,2016-17,3.5,Actual
2016-17 Q3,2016-17,3.5,Actual
2016-17 Q4,2016-17,3.5,Actual
2017-18 Q1,2017-18,3.5,Actual
2017-18 Q2,2017-18,3.5,Actual
2017-18 Q3,2017-18,3.5,Actual
2017-18 Q4,2017-18,3.5,Actual
2018-19 Q1,2018-19,3.4,Actual
2018-19 Q2,2018-19,3.4,Actual
2018-19 Q3,2018-19,3.4,Actual
2018-19 Q4,2018-19,3.4,Actual
2019-20 Q1,2019-20,4.6,Actual
2019-20 Q2,2019-20,4.6,Actual
2019-20 Q3,2019-20,4.6,Actual
2019-20 Q4,2019-20,4.6,Actual
2020-21 Q1,2020-21,9.2,Actual
2020-21 Q2,2020-21,9.2,Actual
2020-21 Q3,2020-21,9.2,Actual
2020-21 Q4,2020-21,9.2,Actual
2021-22 Q1,2021-22,6.7,Actual
2021-22 Q2,2021-22,6.7,Actual
2021-22 Q3,2021-22,6.7,Actual
2021-22 Q4,2021-22,6.7,Actual
2022-23 Q1,2022-23,6.4,Actual
2022-23 Q2,2022-23,6.4,Actual
2022-23 Q3,2022-23,6.4,Actual
2022-23 Q4,2022-23,6.4,Actual
2023-24 Q1,2023-24,5.6,Provisional Actual
2023-24 Q2,2023-24,5.6,Provisional Actual
2023-24 Q3,2023-24,5.6,Provisional Actual
2023-24 Q4,2023-24,5.6,Provisional Actual
2024-25 Q1,2024-25,4.8,Provisional/Revised
2024-25 Q2,2024-25,4.8,Provisional/Revised
2024-25 Q3,2024-25,4.8,Provisional/Revised
2024-25 Q4,2024-25,4.8,Provisional/Revised
2025-26 Q1,2025-26,4.4,Budget Estimate
2025-26 Q2,2025-26,4.4,Budget Estimate
2025-26 Q3,2025-26,4.4,Budget Estimate
2025-26 Q4,2025-26,4.4,Budget Estimate
