FY,GDP_growth_pct,c_PFCE,c_GFCE,c_GFCF,c_CIS,c_Valuables,c_NetExports,c_Discrepancies,sum_check,top_contributor
2012-13,5.46,3.08,0.07,1.69,-0.07,0.08,-0.2,0.82,5.46,PFCE
2013-14,6.39,4.11,0.06,0.53,-0.78,-1.21,4.48,-0.81,6.39,NetExports
2014-15,7.41,3.63,0.76,0.85,1.48,0.4,0.21,0.09,7.41,PFCE
2015-16,8.0,4.45,0.75,2.03,-0.33,-0.02,0.13,0.98,8.0,PFCE
2016-17,8.26,4.56,0.61,2.6,-1.03,-0.3,0.07,1.75,8.26,PFCE
2017-18,6.8,3.5,1.16,2.4,0.68,0.49,-2.79,1.35,6.8,PFCE
2018-19,6.45,3.95,0.69,3.48,0.43,-0.16,0.3,-2.23,6.45,PFCE
2019-20,3.87,2.9,0.4,0.37,-1.1,-0.19,-0.5,1.99,3.87,PFCE
2020-21,-5.78,-3.0,-0.08,-2.24,-0.57,0.34,1.54,-1.76,-5.78,NetExports
2021-22,9.69,6.67,0.0,5.46,0.98,0.51,0.98,-4.9,9.69,PFCE
2022-23,7.61,4.34,0.42,2.82,0.26,-0.32,0.23,-0.14,7.61,PFCE
2023-24,9.19,3.23,0.78,2.95,0.66,0.21,-2.77,4.14,9.19,PFCE
2024-25,6.49,4.04,0.22,2.37,0.08,0.01,2.29,-2.5,6.49,PFCE
