Date,FY_Quarter,Repo_MonthEnd,Repo_MonthAvg
2011-01,2010-11 Q4,6.5,6.306451612903226
2011-02,2010-11 Q4,6.5,6.5
2011-03,2010-11 Q4,6.75,6.620967741935484
2011-04,2011-12 Q1,6.75,6.75
2011-05,2011-12 Q1,7.25,7.217741935483871
2011-06,2011-12 Q1,7.5,7.375
2011-07,2011-12 Q2,8.0,7.596774193548387
2011-08,2011-12 Q2,8.0,8.0
2011-09,2011-12 Q2,8.25,8.125
2011-10,2011-12 Q3,8.5,8.306451612903226
2011-11,2011-12 Q3,8.5,8.5
2011-12,2011-12 Q3,8.5,8.5
2012-01,2011-12 Q4,8.5,8.5
2012-02,2011-12 Q4,8.5,8.5
2012-03,2011-12 Q4,8.5,8.5
2012-04,2012-13 Q1,8.0,8.266666666666667
2012-05,2012-13 Q1,8.0,8.0
2012-06,2012-13 Q1,8.0,8.0
2012-07,2012-13 Q2,8.0,8.0
2012-08,2012-13 Q2,8.0,8.0
2012-09,2012-13 Q2,8.0,8.0
2012-10,2012-13 Q3,8.0,8.0
2012-11,2012-13 Q3,8.0,8.0
2012-12,2012-13 Q3,8.0,8.0
2013-01,2012-13 Q4,7.75,7.975806451612903
2013-02,2012-13 Q4,7.75,7.75
2013-03,2012-13 Q4,7.5,7.645161290322581
2013-04,2013-14 Q1,7.5,7.5
2013-05,2013-14 Q1,7.25,7.266129032258065
2013-06,2013-14 Q1,7.25,7.25
2013-07,2013-14 Q2,7.25,7.25
2013-08,2013-14 Q2,7.25,7.25
2013-09,2013-14 Q2,7.5,7.341666666666667
2013-10,2013-14 Q3,7.75,7.524193548387097
2013-11,2013-14 Q3,7.75,7.75
2013-12,2013-14 Q3,7.75,7.75
2014-01,2013-14 Q4,8.0,7.782258064516129
2014-02,2013-14 Q4,8.0,8.0
2014-03,2013-14 Q4,8.0,8.0
2014-04,2014-15 Q1,8.0,8.0
2014-05,2014-15 Q1,8.0,8.0
2014-06,2014-15 Q1,8.0,8.0
2014-07,2014-15 Q2,8.0,8.0
2014-08,2014-15 Q2,8.0,8.0
2014-09,2014-15 Q2,8.0,8.0
2014-10,2014-15 Q3,8.0,8.0
2014-11,2014-15 Q3,8.0,8.0
2014-12,2014-15 Q3,8.0,8.0
2015-01,2014-15 Q4,7.75,7.862903225806452
2015-02,2014-15 Q4,7.75,7.75
2015-03,2014-15 Q4,7.5,7.524193548387097
2015-04,2015-16 Q1,7.5,7.5
2015-05,2015-16 Q1,7.5,7.5
2015-06,2015-16 Q1,7.25,7.258333333333334
2015-07,2015-16 Q2,7.25,7.25
2015-08,2015-16 Q2,7.25,7.25
2015-09,2015-16 Q2,6.75,7.216666666666667
2015-10,2015-16 Q3,6.75,6.75
2015-11,2015-16 Q3,6.75,6.75
2015-12,2015-16 Q3,6.75,6.75
2016-01,2015-16 Q4,6.75,6.75
2016-02,2015-16 Q4,6.75,6.75
2016-03,2015-16 Q4,6.75,6.75
2016-04,2016-17 Q1,6.5,6.533333333333333
2016-05,2016-17 Q1,6.5,6.5
2016-06,2016-17 Q1,6.5,6.5
2016-07,2016-17 Q2,6.5,6.5
2016-08,2016-17 Q2,6.5,6.5
2016-09,2016-17 Q2,6.5,6.5
2016-10,2016-17 Q3,6.25,6.274193548387097
2016-11,2016-17 Q3,6.25,6.25
2016-12,2016-17 Q3,6.25,6.25
2017-01,2016-17 Q4,6.25,6.25
2017-02,2016-17 Q4,6.25,6.25
2017-03,2016-17 Q4,6.25,6.25
2017-04,2017-18 Q1,6.25,6.25
