Date,index,inflation,base_year
2012-01,114.0,7.65,2010
2012-02,114.6,8.83,2010
2012-03,115.5,9.38,2010
2012-04,117.1,10.26,2010
2012-05,118.2,10.36,2010
2012-06,119.6,9.93,2010
2012-07,121.4,9.86,2010
2012-08,122.9,10.03,2010
2012-09,124.0,9.73,2010
2012-10,124.9,9.75,2010
2012-11,125.4,9.9,2010
2012-12,125.6,10.56,2010
2013-01,126.3,10.79,2010
2013-02,127.1,10.91,2010
2013-03,127.5,10.39,2010
2013-04,128.1,9.39,2010
2013-05,129.2,9.31,2010
2013-06,131.4,9.87,2010
2013-07,133.1,9.64,2010
2013-08,134.6,9.52,2010
2013-09,136.2,9.84,2010
2013-10,137.6,10.17,2010
2013-11,139.4,11.16,2010
2013-12,138.0,9.87,2010
2014-01,113.6,8.6,2012
2014-02,113.6,7.88,2012
2014-03,114.2,8.25,2012
2014-04,115.1,8.48,2012
2014-05,115.8,8.33,2012
2014-06,116.7,6.77,2012
2014-07,119.2,7.39,2012
2014-08,120.3,7.03,2012
2014-09,120.1,5.63,2012
2014-10,120.1,4.62,2012
2014-11,120.1,3.27,2012
2014-12,119.4,4.28,2012
2015-01,119.5,5.19,2012
2015-02,119.7,5.37,2012
2015-03,120.2,5.25,2012
2015-04,120.7,4.87,2012
2015-05,121.6,5.01,2012
2015-06,123.0,5.4,2012
2015-07,123.6,3.69,2012
2015-08,124.8,3.74,2012
2015-09,125.4,4.41,2012
2015-10,126.1,5.0,2012
2015-11,126.6,5.41,2012
2015-12,126.1,5.61,2012
2016-01,126.3,5.69,2012
2016-02,126.0,5.26,2012
2016-03,126.0,4.83,2012
2016-04,127.3,5.47,2012
2016-05,128.6,5.76,2012
2016-06,130.1,5.77,2012
2016-07,131.1,6.07,2012
2016-08,131.1,5.05,2012
2016-09,130.9,4.39,2012
2016-10,131.4,4.2,2012
2016-11,131.2,3.63,2012
2016-12,130.4,3.41,2012
2017-01,130.3,3.17,2012
2017-02,130.6,3.65,2012
2017-03,130.9,3.89,2012
2017-04,131.1,2.99,2012
2017-05,131.4,2.18,2012
2017-06,132.0,1.46,2012
2017-07,134.2,2.36,2012
2017-08,135.4,3.28,2012
2017-09,135.2,3.28,2012
2017-10,136.1,3.58,2012
2017-11,137.6,4.88,2012
2017-12,137.2,5.21,2012
2018-01,136.9,5.07,2012
2018-02,136.4,4.44,2012
2018-03,136.5,4.28,2012
2018-04,137.1,4.58,2012
2018-05,137.8,4.87,2012
2018-06,138.5,4.92,2012
2018-07,139.8,4.17,2012
2018-08,140.4,3.69,2012
2018-09,140.2,3.7,2012
2018-10,140.7,3.38,2012
2018-11,140.8,2.33,2012
2018-12,140.1,2.11,2012
2019-01,139.6,1.97,2012
2019-02,139.9,2.57,2012
2019-03,140.4,2.86,2012
2019-04,141.2,2.99,2012
2019-05,142.0,3.05,2012
2019-06,142.9,3.18,2012
2019-07,144.2,3.15,2012
2019-08,145.0,3.28,2012
2019-09,145.8,3.99,2012
2019-10,147.2,4.62,2012
2019-11,148.6,5.54,2012
2019-12,150.4,7.35,2012
2020-01,150.2,7.59,2012
2020-02,149.1,6.58,2012
2020-03,148.6,5.84,2012
2020-06,151.8,6.23,2012
2020-07,153.9,6.73,2012
2020-08,154.7,6.69,2012
2020-09,156.4,7.27,2012
2020-10,158.4,7.61,2012
2020-11,158.9,6.93,2012
2020-12,157.3,4.59,2012
2021-01,156.3,4.06,2012
2021-02,156.6,5.03,2012
2021-03,156.8,5.52,2012
2021-04,157.8,4.23,2012
2021-05,160.4,6.3,2012
2021-06,161.3,6.26,2012
2021-07,162.5,5.59,2012
2021-08,162.9,5.3,2012
2021-09,163.2,4.35,2012
2021-10,165.5,4.48,2012
2021-11,166.7,4.91,2012
2021-12,166.2,5.66,2012
2022-01,165.7,6.01,2012
2022-02,166.1,6.07,2012
2022-03,167.7,6.95,2012
2022-04,170.1,7.79,2012
2022-05,171.7,7.04,2012
2022-06,172.6,7.01,2012
2022-07,173.4,6.71,2012
2022-08,174.3,7.0,2012
2022-09,175.3,7.41,2012
2022-10,176.7,6.77,2012
2022-11,176.5,5.88,2012
2022-12,175.7,5.72,2012
2023-01,176.5,6.52,2012
2023-02,176.8,6.44,2012
2023-03,177.2,5.66,2012
2023-04,178.1,4.7,2012
2023-05,179.1,4.31,2012
2023-06,181.0,4.87,2012
2023-07,186.3,7.44,2012
2023-08,186.2,6.83,2012
2023-09,184.1,5.02,2012
2023-10,185.3,4.87,2012
2023-11,186.3,5.55,2012
2023-12,185.7,5.69,2012
2024-01,185.5,5.1,2012
2024-02,185.8,5.09,2012
2024-03,185.8,4.85,2012
2024-04,186.7,4.83,2012
2024-05,187.7,4.8,2012
2024-06,190.2,5.08,2012
2024-07,193.0,3.6,2012
2024-08,193.0,3.65,2012
2024-09,194.2,5.49,2012
2024-10,196.8,6.21,2012
2024-11,196.5,5.48,2012
2024-12,195.4,5.22,2012
2025-01,193.4,4.26,2012
2025-02,192.5,3.61,2012
2025-03,192.0,3.34,2012
2025-04,192.6,3.16,2012
2025-05,193.0,2.82,2012
2025-06,194.2,2.1,2012
2025-07,196.1,1.61,2012
2025-08,197.0,2.07,2012
2025-09,197.0,1.44,2012
2025-10,197.3,0.25,2012
2025-11,197.9,0.71,2012
2025-12,198.0,1.33,2012
2026-01,104.45,2.74,2024
2026-02,104.57,3.21,2024
2026-03,104.84,3.4,2024
2026-04,105.12,3.48,2024
2026-05,105.91,3.93,2024
2026-06,107.0,4.38,2024
2026-07,107.95,4.45,2024
2026-08,108.74,4.82,2024
