Date,BankCredit
1997-06-06,276067.1855
1997-06-20,275669.2425
1997-07-04,278588.9729
1997-07-18,277321.6958
1997-08-01,277465.4005
1997-08-15,275832.1992
1997-08-29,277099.3599
1997-09-12,276351.9607
1997-09-26,279734.1431
1997-10-10,284440.908
1997-10-24,285006.8731
1997-11-07,286837.7991
1997-11-21,286316.9983
1997-12-05,288721.5546
1997-12-19,291111.098
1998-01-02,300529.6965
1998-01-16,302076.4895
1998-01-30,307061.048
1998-02-13,307985.7457
1998-02-27,313455.5698
1998-03-13,312979.8461
1998-03-27,324078.6709
1998-04-10,326194.0303
1998-04-24,321576.7776
1998-05-08,320980.4669
1998-05-22,320390.1251
1998-06-05,319670.0683
1998-06-19,318831.3339
1998-07-03,323937.8314
1998-07-17,323395.979
1998-07-31,323049.9447
1998-08-14,321633.1382
1998-08-28,323597.4732
1998-09-11,324054.506
1998-09-25,330689.9185
1998-10-09,335723.2761
1998-10-23,337819.4302
1998-11-06,337392.1342
1998-11-20,336464.8182
1998-12-04,337579.9139
1998-12-18,338167.6071
1999-01-01,347042.7733
1999-01-15,350567.106
1999-01-29,349271.0707
1999-02-12,349861.94
1999-02-26,353468.9458
1999-03-12,355239.9378
1999-03-26,368870.1529
1999-04-09,370025.7589
1999-04-23,367732.9388
1999-05-07,368317.018
1999-05-21,367186.4509
1999-06-04,365722.7375
1999-06-18,363594.5429
1999-07-02,370491.3071
1999-07-16,372389.0905
1999-07-30,372051.8696
1999-08-13,373407.3413
1999-08-27,374766.0129
1999-09-10,375288.1482
1999-09-24,380657.9256
1999-10-08,389959.7402
1999-10-22,392451.7555
1999-11-05,395417.6532
1999-11-19,394552.9141
1999-12-03,396751.8022
1999-12-17,401308.9489
1999-12-31,415177.2728
2000-01-14,414596.7363
2000-01-28,415288.2383
2000-02-11,419723.5373
2000-02-25,424584.0932
2000-03-10,427046.042
2000-03-24,435958.4005
2000-04-07,446764.3545
2000-04-21,444140.0377
2000-05-05,443070.2439
2000-05-19,442502.5378
2000-06-02,444346.278
2000-06-16,446922.6099
2000-06-30,459934.1861
2000-07-14,456194.2252
2000-07-28,457556.9416
2000-08-11,457784.1686
2000-08-25,462265.8533
2000-09-08,463463.7242
2000-09-22,467451.4705
2000-10-06,478169.0652
2000-10-20,478125.9374
2000-11-03,478640.3165
2000-11-17,480696.9753
2000-12-01,481403.1079
2000-12-15,485572.997
2000-12-29,497702.6106
2001-01-12,498429.4659
2001-01-26,500283.3547
2001-02-09,501574.8899
2001-02-23,504722.3993
2001-03-09,505720.7112
2001-03-23,511433.9699
2001-04-06,528363.0762
2001-04-20,515290.7916
2001-05-04,517567.6658
2001-05-18,518798.6775
2001-06-01,515679.1789
2001-06-15,516411.1499
2001-06-29,519415.5474
2001-07-13,523906.8921
2001-07-27,524103.6862
2001-08-10,528116.8802
2001-08-24,527607.9185
2001-09-07,527786.9889
2001-09-21,529985.9897
2001-10-05,546097.9777
2001-10-19,543116.0067
2001-11-02,547935.0838
2001-11-16,549227.9824
2001-11-30,549318.6456
2001-12-14,550231.325
2001-12-28,559673.4636
2002-01-11,567655.5541
2002-01-25,568543.1741
2002-02-08,570779.718
2002-02-22,572850.5235
2002-03-08,576132.8046
2002-03-22,589722.6195
2002-04-05,603670.0321
2002-04-19,595801.454
2002-05-03,642886.0668
2002-05-17,640676.4009
2002-05-31,644747.5684
2002-06-14,643873.1934
2002-06-28,648818.2024
2002-07-12,652270.3043
2002-07-26,651192.2307
2002-08-09,653559.9715
2002-08-23,653381.3413
2002-09-06,658509.5735
2002-09-20,661118.2376
2002-10-04,675592.125
2002-10-18,672837.4322
2002-11-01,682570.2767
2002-11-15,681051.843
2002-11-29,683670.2343
2002-12-13,685083.1827
2002-12-27,692244.0916
2003-01-10,695547.9998
2003-01-24,697531.0248
2003-02-07,706311.5289
2003-02-21,709482.8708
2003-03-07,716012.3891
2003-03-21,729215.3635
2003-04-04,743491.7285
2003-04-18,729983.6759
2003-05-02,731916.9597
2003-05-16,730314.0735
2003-05-30,730369.6825
2003-06-13,728541.857
2003-06-27,732893.0079
2003-07-11,725680.3538
2003-07-25,726653.3433
2003-08-08,729765.1085
2003-08-22,726658.0719
2003-09-05,733837.0156
2003-09-19,735477.7572
2003-10-03,758142.6649
2003-10-17,753830.2014
2003-10-31,762303.4232
2003-11-14,762556.7734
2003-11-28,769211.8617
2003-12-12,772371.2082
2003-12-26,783357.3366
2004-01-09,796718.2868
2004-01-23,796995.3294
2004-02-06,810776.9914
2004-02-20,812462.3916
2004-03-05,822859.4338
2004-03-19,840784.9932
2004-04-02,874851.7078
2004-04-16,860870.612
2004-04-30,864902.725
2004-05-14,862552.4592
2004-05-28,863996.3948
2004-06-11,868002.609
2004-06-25,878869.9493
2004-07-09,882552.9953
2004-07-23,883625.4585
2004-08-06,896682.2154
2004-08-20,903640.459
2004-09-03,911156.8447
2004-09-17,920475.1716
2004-10-01,938994.6498
2004-10-15,972226.7243
2004-10-29,990757.3205
2004-11-12,999346.6965
2004-11-26,1007097.7075
2004-12-10,1016824.111
2004-12-24,1027877.4394
2005-01-07,1040707.9132
2005-01-21,1047322.2339
2005-02-04,1053825.2833
2005-02-18,1058330.9512
2005-03-04,1073555.4242
2005-03-18,1100428.3977
