FY_Quarter,GDP,PFCE,GFCE,GFCF,CIS,Valuables,Exports,Imports,NetTaxes
2022-23 Q1,6162846,3447869,731465,1994295,48915,101426,1552120,1645711,613022
2022-23 Q2,6045123,3425429,728397,2063496,-63657,119250,1565703,1742885,552811
2022-23 Q3,6828276,4037218,707317,2138326,42582,80571,1557205,1745456,568042
2022-23 Q4,7140756,4028336,766881,2256838,146282,59421,1603694,1828325,619991
2023-24 Q1,6568527,3689235,735348,2152370,102595,73249,1520821,1727758,633613
2023-24 Q2,6500703,3624281,727274,2281915,91183,82569,1545230,1780045,575609
2023-24 Q3,7352703,4259708,714203,2310132,97319,87445,1575387,1748844,626833
2023-24 Q4,7672424,4298016,779801,2473101,101520,83785,1707977,1693140,665652
2024-25 Q1,7061843,3911568,783842,2361461,112140,53690,1612050,1873238,684235
2024-25 Q2,6975107,3855569,763991,2484274,97791,123356,1561036,1870334,634635
2024-25 Q3,7898065,4552327,782448,2469966,101130,100112,1704853,1837835,660401
2024-25 Q4,8180413,4572118,822513,2660321,102672,56224,1781951,1767477,714388
2025-26 Q1,7546230,4176184,819411,2497280,142862,38179,1708025,1972239,725108
2025-26 Q2,7541258,4101561,797413,2663617,110039,88332,1713049,1964085,674003
2025-26 Q3,8502278,4917427,837237,2675826,110608,97294,1810390,1966531,715450
2025-26 Q4,8880334,4913735,885951,2940719,115327,81947,1852044,1782106,765209
2026-27 Q1,8136153,4474278,854877,2795605,123063,31090,1913790,1950544,753700
