year,month,growth_rate,base_year
2012,April,-0.7,2011-12
2012,May,5.0,2011-12
2012,June,2.3,2011-12
2012,July,1.5,2011-12
2012,August,-0.1,2011-12
2012,September,-1.0,2011-12
2012,October,3.7,2011-12
2012,November,-1.7,2011-12
2012,December,7.1,2011-12
2013,January,7.2,2011-12
2013,February,1.4,2011-12
2013,March,15.2,2011-12
2013,April,3.3,2011-12
2013,May,1.0,2011-12
2013,June,-1.0,2011-12
2013,July,3.2,2011-12
2013,August,4.4,2011-12
2013,September,6.8,2011-12
2013,October,1.9,2011-12
2013,November,3.7,2011-12
2013,December,3.5,2011-12
2014,January,4.8,2011-12
2014,February,5.2,2011-12
2014,March,2.9,2011-12
2014,April,3.9,2011-12
2014,May,4.7,2011-12
2014,June,8.3,2011-12
2014,July,5.4,2011-12
2014,August,3.5,2011-12
2014,September,4.3,2011-12
2014,October,0.3,2011-12
2014,November,7.4,2011-12
2014,December,4.0,2011-12
2015,January,1.8,2011-12
2015,February,3.0,2011-12
2015,March,2.4,2011-12
2015,April,0.7,2011-12
2015,May,1.8,2011-12
2015,June,1.0,2011-12
2015,July,1.3,2011-12
2015,August,3.7,2011-12
2015,September,2.2,2011-12
2015,October,9.0,2011-12
2015,November,0.8,2011-12
2015,December,3.1,2011-12
2016,January,4.0,2011-12
2016,February,7.2,2011-12
2016,March,5.2,2011-12
2016,April,6.0,2011-12
2016,May,7.3,2011-12
2016,June,8.0,2011-12
2016,July,4.5,2011-12
2016,August,4.0,2011-12
2016,September,5.0,2011-12
2016,October,4.2,2011-12
2016,November,5.1,2011-12
2016,December,2.4,2011-12
2017,January,3.5,2011-12
2017,February,1.2,2011-12
2017,March,4.4,2011-12
2017,April,3.2,2011-12
2017,May,2.9,2011-12
2017,June,-0.3,2011-12
2017,July,1.0,2011-12
2017,August,4.8,2011-12
2017,September,4.1,2011-12
2017,October,1.8,2011-12
2017,November,8.5,2011-12
2017,December,7.3,2011-12
2018,January,7.5,2011-12
2018,February,6.9,2011-12
2018,March,5.3,2011-12
2018,April,4.5,2011-12
2018,May,3.8,2011-12
2018,June,7.0,2011-12
2018,July,6.5,2011-12
2018,August,4.8,2011-12
2018,September,4.6,2011-12
2018,October,8.4,2011-12
2018,November,0.2,2011-12
2018,December,2.5,2011-12
2019,January,1.6,2011-12
2019,February,0.2,2011-12
2019,March,2.7,2011-12
2019,April,3.2,2011-12
2019,May,4.5,2011-12
2019,June,1.3,2011-12
2019,July,4.9,2011-12
2019,August,-1.4,2011-12
2019,September,-4.6,2011-12
2019,October,-6.6,2011-12
2019,November,2.1,2011-12
2019,December,0.4,2011-12
2020,January,2.2,2011-12
2020,February,5.2,2011-12
2020,March,-18.7,2011-12
2020,April,-57.3,2011-12
2020,May,-33.4,2011-12
2020,June,-16.6,2011-12
2020,July,-10.5,2011-12
2020,August,-7.1,2011-12
2020,September,1.0,2011-12
2020,October,4.5,2011-12
2020,November,-1.6,2011-12
2020,December,2.2,2011-12
2021,January,-0.6,2011-12
2021,February,-3.2,2011-12
2021,March,24.2,2011-12
2021,May,27.6,2011-12
2021,June,13.8,2011-12
2021,July,11.5,2011-12
2021,August,13.0,2011-12
2021,September,4.4,2011-12
2021,October,4.2,2011-12
2021,November,1.0,2011-12
2021,December,1.0,2011-12
2022,January,2.0,2011-12
2022,February,1.2,2011-12
2022,March,2.2,2011-12
2022,April,6.7,2011-12
2022,May,19.7,2011-12
2022,June,12.6,2011-12
2022,July,2.2,2011-12
2022,August,-0.7,2011-12
2022,September,3.3,2011-12
2022,October,-4.1,2011-12
2022,November,7.6,2011-12
2022,December,5.1,2011-12
2023,January,5.8,2011-12
2023,February,6.0,2011-12
2023,March,1.9,2011-12
2023,April,4.6,2011-12
2023,May,5.7,2011-12
2023,June,4.0,2011-12
2023,July,6.2,2011-12
2023,August,10.9,2011-12
2023,September,6.4,2011-12
2023,October,11.9,2011-12
2023,November,2.5,2011-12
2023,December,4.4,2011-12
2024,January,4.2,2011-12
2024,February,5.6,2011-12
2024,March,5.5,2011-12
2024,April,5.2,2011-12
2024,May,6.3,2011-12
2024,June,4.9,2011-12
2024,July,5.0,2011-12
2024,August,0.0,2011-12
2024,September,3.2,2011-12
2024,October,3.7,2011-12
2024,November,5.0,2011-12
2024,December,3.7,2011-12
2025,January,5.2,2011-12
2025,February,2.7,2011-12
2025,March,3.9,2011-12
2025,April,2.6,2011-12
2025,May,1.9,2011-12
2025,June,1.5,2011-12
2025,July,4.3,2011-12
2025,August,4.0,2011-12
2025,September,4.6,2011-12
2025,October,0.5,2011-12
2025,November,7.2,2011-12
2025,December,8.0,2011-12
2026,January,5.1,2011-12
2026,February,5.1,2011-12
2026,March,4.1,2011-12
2026,April,4.9,2022-23
2026,May,5.0,2022-23
2026,June,8.8,2022-23
2026,July,6.7,2022-23
