EffectiveDate,Repo_Rate_pct
02-11-2010,6.25
25-01-2011,6.5
17-03-2011,6.75
03-05-2011,7.25
16-06-2011,7.5
26-07-2011,8
16-09-2011,8.25
25-10-2011,8.5
17-04-2012,8
29-01-2013,7.75
19-03-2013,7.5
03-05-2013,7.25
20-09-2013,7.5
29-10-2013,7.75
28-01-2014,8
15-01-2015,7.75
04-03-2015,7.5
02-06-2015,7.25
29-09-2015,6.75
05-04-2016,6.5
04-10-2016,6.25
02-08-2017,6
06-06-2018,6.25
01-08-2018,6.5
07-02-2019,6.25
04-04-2019,6
06-06-2019,5.75
07-08-2019,5.4
04-10-2019,5.15
27-03-2020,4.4
22-05-2020,4
04-05-2022,4.4
08-06-2022,4.9
05-08-2022,5.4
30-09-2022,5.9
07-12-2022,6.25
08-02-2023,6.5
07-02-2025,6.25
09-04-2025,6
06-06-2025,5.5
05-12-2025,5.25
06-02-2026,5.25
08-04-2026,5.25
05-06-2026,5.25
